"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Wisconsin","Copper Range Spur","BRCPRS04","Enter old trail grade","Enter old road grade","Trail","Public",NA,"BRCPRS03, BRCPRS05",2024-02-08 10:25:40.091883,NA,"NEW"
"Wisconsin","Copper Range Spur","BRCPRS05","Enter old road grade","Leave old road grade","Trail","Public",NA,"BRCPRS04, BRCPRS06",2024-02-08 10:25:45.163973,NA,"NEW"
"Wisconsin","Copper Range Spur","BRCPRS06","Leave old road grade","Cross hunter walking trail","Trail","Public",NA,"BRCPRS05, BRCPRS07, BRCPRS10",2024-02-08 10:25:50.144678,NA,"NEW"
"Wisconsin","Copper Range Spur","BRCPRS07","Cross hunter walking trail","Fork to parking area or Brule River","Trail","Public",NA,"BRCPRS06, BRCPRS10, BRCPRS08, BRCPRS09",2024-02-08 10:25:55.120703,NA,"NEW"
"Wisconsin","Copper Range Spur","BRCPRS08","Fork to parking area or Brule River","Arrive Brule River","Trail","Public",NA,"BRCPRS07, BRCPRS09, NA",2024-02-08 10:26:00.255453,NA,"NEW"
"Wisconsin","Copper Range Spur","BRCPRS09","Fork to parking area or Brule River","Arrive Park Rd parking lot","Trail","Public",NA,"BRCPRS07, BRCPRS08, BRCPRS10",2024-02-08 10:26:05.494249,NA,"NEW"
"Wisconsin","Copper Range Spur (hunter walking trail)","BRCPRS10","Leave Park Rd parking lot","Arrive main Copper Range Spur","Trail","Public",NA,"BRCPRS09, BRCPRS06, BRCPRS07",2024-02-08 10:26:10.802345,NA,"NEW"
"Wisconsin","Bay Shore County Park","DCBSHPK01","Parking area","Spur to lake","Trail","Public",NA,"NA, DCBSHPK02, DCBSHPK03",2025-03-18 16:50:41.644358,NA,"NEW"
"Wisconsin","Bay Shore County Park","DCBSHPK02","Main trail","lake","Trail","Public",NA,"DCBSHPK01, DCBSHPK03, NA",2025-03-18 16:50:47.163469,NA,"NEW"
"Wisconsin","Bay Shore County Park","DCBSHPK03","Spur to lake","Parking area","Trail","Public",NA,"DCBSHPK02, DCBSHPK03, NA",2025-03-18 16:50:52.092775,NA,"NEW"
"Wisconsin","Death Door Bluff County Park","DCDTHDRBLF","Parking area","Lake overlook","Trail","Public",NA,"NA, NA",2025-03-18 16:50:57.232586,NA,"NEW"
"Wisconsin","Ellison Bluff County Park","DCELSNBLUF","Parking area","Parking area","Trail","Public",NA,"NA, NA",2025-03-18 16:51:02.389044,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY01","Parking area","Lynd Point Tr","Trail","Public",NA,"NA, DCNPEUBY02, DCNPLYPT01",2025-03-18 16:51:07.645784,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY02","Lynd Point Tr","Lynd Point Tr","Trail","Public",NA,"DCNPEUBY01, DCNPLYPT01, DCNPEUBY03, DCNPLYPT03",2025-03-18 16:51:12.671614,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY03","Lynd Point Tr","Europe Bay Tr","Trail","Public",NA,"DCNPEUBY02, DCNPLYPT03, DCNPEUBY04, DCNPEUBY05",2025-03-18 16:51:17.612722,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY04","Europe Bay Tr","Europe Bay Tr","Trail","Public",NA,"DCNPEUBY03, DCNPEUBY05, DCNPEUBY05, DCNPEUBY06",2025-03-18 16:51:22.686481,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY05","Europe Bay Tr","Europe Bay Tr","Trail","Public",NA,"DCNPEUBY03, DCNPEUBY04, DCNPEUBY04, DCNPEUBY06",2025-03-18 16:51:27.985874,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY06","Europe Bay Tr","Hotz Tr","Trail","Public",NA,"DCNPEUBY04, DCNPEUBY05, DCNPEUBY07, DCNPHOTZ01",2025-03-18 16:51:32.949049,NA,"NEW"
"Wisconsin","Europe Bay Tr","DCNPEUBY07","Hotz Tr","Hotz Tr","Trail","Public",NA,"DCNPEUBY06, DCNPHOTZ01, DCNPHOTZ01",2025-03-18 16:51:38.25276,NA,"NEW"
"Wisconsin","Hotz Tr","DCNPHOTZ01","Europe Bay Tr","Europe Bay Tr","Trail","Public",NA,"DCNPEUBY06, DCNPEUBY07, DCNPEUBY07",2025-03-18 16:51:43.151081,NA,"NEW"
"Wisconsin","Lynd Point Tr","DCNPLYPT01","Europe Bay Tr","Spur to lake","Trail","Public",NA,"DCNPEUBY01, DCNPEUBY02, DCNPLYPT02, DCNPLYPT03",2025-03-18 16:51:47.9699,NA,"NEW"
"Wisconsin","Lynd Point Tr","DCNPLYPT02","Europe Bay Tr","Lake","Trail","Public",NA,"DCNPLYPT01, DCNPLYPT03, NA",2025-03-18 16:51:52.849691,NA,"NEW"
"Wisconsin","Lynd Point Tr","DCNPLYPT03","Spur to lake","Europe Bay Tr","Trail","Public",NA,"DCNPLYPT01, DCNPLYPT02, DCNPEUBY02, DCNPEUBY03",2025-03-18 16:51:57.70941,NA,"NEW"
"Wisconsin","Anscient Shorelines Tr","DCPTANSL01","Unnamed trail","S Norway Rd","Trail","Public",NA,"DCPTUNMD01, DCPTSNWY01",2025-03-18 16:52:02.834581,NA,"NEW"
"Wisconsin","S Norway Rd","DCPTSNWY01","Ancient Shorelines Tr","Parking area","Paved","Public",NA,"DCPTANSL01, DCPTTWR01",2025-03-18 16:52:08.02375,NA,"NEW"
"Wisconsin","Tower Loop Tr","DCPTTWR01","Parking area","Tower","Trail","Public",NA,"DCPTSNWY01, DCPTTWR02",2025-03-18 16:52:13.048517,NA,"NEW"
"Wisconsin","Tower Loop Tr","DCPTTWR02","Tower","Old Ski Jump","Trail","Public",NA,"DCPTTWR01, DCPTTWR03",2025-03-18 16:52:18.42206,NA,"NEW"
"Wisconsin","Tower Loop Tr","DCPTTWR03","Old Ski Jump","Unnamed trail","Trail","Public",NA,"DCPTTWR02, DCPTUNMD01",2025-03-18 16:52:23.755892,NA,"NEW"
"Wisconsin","Unnamed Tr","DCPTUNMD01","Tower Tr","Ancient Shorelines Tr","Trail","Public",NA,"DCPTTWR03, DCPTANSL01",2025-03-18 16:52:28.964983,NA,"NEW"
"Wisconsin","Brachiopod Tr","DCWFBRPD01","Cave Point Access Tr","Red Tr","Trail","Public",NA,"DCWFCP01, DCWFCP01, DCWFYLW20",2025-03-18 16:52:34.458817,NA,"NEW"
"Wisconsin","Cave Point Access Tr","DCWFCP01","Cave Point County Park parking area","Brachiopod Tr","Trail","Public",NA,"NA, DCWFBRPD01",2025-03-18 16:52:40.527931,NA,"NEW"
"Wisconsin","Old Baldy Tr","DCWFOBLD01","Red Tr","Old Baldy Spur","Trail","Public",NA,"DCWFRED03, DCWFOBLD02, DCWFOBLD03",2025-03-18 17:31:02.112741,NA,"NEW"
"Wisconsin","Old Baldy Spur","DCWFOBLD02","Old Baldy Tr","Old Baldy overlook","Trail","Public",NA,"DCWFOBLD01, DCWFOBLD03, NA",2025-03-18 16:52:46.056837,NA,"NEW"
"Wisconsin","Old Baldy Tr","DCWFOBLD03","Old Baldy Spur","Yellow Tr","Trail","Public",NA,"DCWFOBLD01, DCWFOBLD02, DCWFYLW10",2025-03-18 16:52:50.707848,NA,"NEW"
"Wisconsin","Red Tr","DCWFRED01","Brachiopod Tr","Beach access spur","Trail","Public",NA,"DCWFBRPD01, DCWFYLW20, DCWFRED02, DCWFRED03",2025-03-18 16:52:55.432896,NA,"NEW"
"Wisconsin","Spur to beach","DCWFRED02","Red Tr","beach","Trail","Public",NA,"DCWFRED01, DCWFRED03, NA",2025-03-18 16:53:00.607687,NA,"NEW"
"Wisconsin","Red Tr","DCWFRED03","Beach access spur","Old Baldy Tr","Trail","Public",NA,"DCWFRED01, DCWFRED02, DCWFOBLD01",2025-03-18 16:53:05.02589,NA,"NEW"
"Wisconsin","Yellow Tr","DCWFYLW10","Old Baldy Tr","Yellow Spur Tr","Trail","Public",NA,"DCWFOBLD03, DCWFYLWS01",2025-03-18 16:53:10.226549,NA,"NEW"
"Wisconsin","Yellow Tr","DCWFYLW20","Yellow Spur Tr","Red Tr","Trail","Public",NA,"DCWFYLWS01, DCWFBRPD01, DCWFRED01",2025-03-18 16:53:18.013857,NA,"NEW"
"Wisconsin","Yellow Spur Tr","DCWFYLWS01","Yellow Tr","Yellow Tr","Trail","Public",NA,"DCWFYLW10, DCWFYLW20",2025-03-18 16:53:22.739511,NA,"NEW"
